title;url;price
HP 15s-fq2960nd;https://www.coolblue.nl/en/product/873236/hp-15s-fq2960nd.html;499,-
Lenovo ThinkBook 15 G2 - 20VE0049MH;https://www.coolblue.nl/en/product/872868/lenovo-thinkbook-15-g2-20ve0049mh.html;1.059,-
Apple MacBook Air (2020) 16GB/256GB Apple M1 with 7-core GPU Space Gray;https://www.coolblue.nl/en/product/874171/apple-macbook-air-2020-16gb-256gb-apple-m1-with-7-core-gpu-space-gray.html;1.359,-
HP Pavilion 15-eh1907nd;https://www.coolblue.nl/en/product/889428/hp-pavilion-15-eh1907nd.html;599,-
Lenovo IdeaPad 5 14ARE05 81YM00F7MH;https://www.coolblue.nl/en/product/900571/lenovo-ideapad-5-14are05-81ym00f7mh.html;749,-
HP Chromebook 14a-na0170nd;https://www.coolblue.nl/en/product/868651/hp-chromebook-14a-na0170nd.html;249,-
Lenovo ThinkBook 15 G2 - 20VE0046MH;https://www.coolblue.nl/en/product/872864/lenovo-thinkbook-15-g2-20ve0046mh.html;799,-
Apple MacBook Pro 13 inches (2020) 16GB/256GB Apple M1 Space Gray;https://www.coolblue.nl/en/product/874177/apple-macbook-pro-13-inches-2020-16gb-256gb-apple-m1-space-gray.html;1.609,-
Apple MacBook Pro 13 inches (2020) 16GB/512GB Apple M1 Space Gray;https://www.coolblue.nl/en/product/874178/apple-macbook-pro-13-inches-2020-16gb-512gb-apple-m1-space-gray.html;1.769,-
Lenovo IdeaPad 5 Pro 14ACN6 82L7006VMH;https://www.coolblue.nl/en/product/878296/lenovo-ideapad-5-pro-14acn6-82l7006vmh.html;999,-
Acer Swift 3 SF316-51-51BS;https://www.coolblue.nl/en/product/879388/acer-swift-3-sf316-51-51bs.html;769,-
Asus Chromebook C523NA-EJ0446;https://www.coolblue.nl/en/product/886177/asus-chromebook-c523na-ej0446.html;299,-
Acer Chromebook Spin 311 CP311-2H-C3DE;https://www.coolblue.nl/en/product/853049/acer-chromebook-spin-311-cp311-2h-c3de.html;249,-
MSI Modern 15 A11M-814NL;https://www.coolblue.nl/en/product/892840/msi-modern-15-a11m-814nl.html;799,-
Acer Swift 3 SF314-43-R13Q;https://www.coolblue.nl/en/product/882455/acer-swift-3-sf314-43-r13q.html;579,-
HP ProBook 450 G8 - 203F7EA;https://www.coolblue.nl/en/product/872309/hp-probook-450-g8-203f7ea.html;1.149,-
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 16GB/1TB Space Gray;https://www.coolblue.nl/en/product/894397/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-16gb-1tb-space-gray.html;2.329,-
Lenovo Legion 5 17IMH05 82B300CBMH;https://www.coolblue.nl/en/product/882865/lenovo-legion-5-17imh05-82b300cbmh.html;1.199,-
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 32GB/1TB Space Gray;https://www.coolblue.nl/en/product/894399/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-32gb-1tb-space-gray.html;2.879,-
Lenovo Legion 5 17ITH6H 82JM001EMH;https://www.coolblue.nl/en/product/882868/lenovo-legion-5-17ith6h-82jm001emh.html;1.499,-
Acer Chromebook Spin 514 CP514-1HH-R7PK;https://www.coolblue.nl/en/product/876297/acer-chromebook-spin-514-cp514-1hh-r7pk.html;649,-
HP 470 G8 i7-16gb-512GB;https://www.coolblue.nl/en/product/889652/hp-470-g8-i7-16gb-512gb.html;1.349,-
