title;url;price
Lenovo ThinkBook 15 G2 - 20VE0049MH;https://www.coolblue.nl/en/product/872868/lenovo-thinkbook-15-g2-20ve0049mh.html;"<strong class=""sales-price__current js-sales-price-current"">1.059,-</strong>"
HP 15s-fq2960nd;https://www.coolblue.nl/en/product/873236/hp-15s-fq2960nd.html;"<strong class=""sales-price__current js-sales-price-current"">499,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Apple MacBook Air (2020) 16GB/256GB Apple M1 with 7-core GPU Space Gray;https://www.coolblue.nl/en/product/874171/apple-macbook-air-2020-16gb-256gb-apple-m1-with-7-core-gpu-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">1.359,-</strong>"
Lenovo IdeaPad 5 14ARE05 81YM00F7MH;https://www.coolblue.nl/en/product/900571/lenovo-ideapad-5-14are05-81ym00f7mh.html;"<strong class=""sales-price__current js-sales-price-current"">749,-</strong>"
Apple MacBook Pro 13 inches (2020) 16GB/256GB Apple M1 Space Gray;https://www.coolblue.nl/en/product/874177/apple-macbook-pro-13-inches-2020-16gb-256gb-apple-m1-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">1.609,-</strong>"
HP Pavilion 15-eh1907nd;https://www.coolblue.nl/en/product/889428/hp-pavilion-15-eh1907nd.html;"<strong class=""sales-price__current js-sales-price-current"">599,-</strong>"
Lenovo ThinkBook 15 G2 - 20VE0046MH;https://www.coolblue.nl/en/product/872864/lenovo-thinkbook-15-g2-20ve0046mh.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
HP Pavilion 15-eh1908nd;https://www.coolblue.nl/en/product/889429/hp-pavilion-15-eh1908nd.html;"<strong class=""sales-price__current js-sales-price-current"">679,-</strong>"
Lenovo IdeaPad 5 Pro 14ACN6 82L7006VMH;https://www.coolblue.nl/en/product/878296/lenovo-ideapad-5-pro-14acn6-82l7006vmh.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
Apple MacBook Pro 13 inches (2020) 16GB/512GB Apple M1 Space Gray;https://www.coolblue.nl/en/product/874178/apple-macbook-pro-13-inches-2020-16gb-512gb-apple-m1-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">1.769,-</strong>"
HP ProBook 450 G8 - 203F7EA;https://www.coolblue.nl/en/product/872309/hp-probook-450-g8-203f7ea.html;"<strong class=""sales-price__current js-sales-price-current"">1.149,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 16GB/1TB Space Gray;https://www.coolblue.nl/en/product/894397/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-16gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.329,-</strong>"
Acer Swift 3 SF316-51-51BS;https://www.coolblue.nl/en/product/879388/acer-swift-3-sf316-51-51bs.html;"<strong class=""sales-price__current js-sales-price-current"">769,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 32GB/1TB Space Gray;https://www.coolblue.nl/en/product/894399/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-32gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.879,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 16GB/512GB Space Gray;https://www.coolblue.nl/en/product/894361/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-16gb-512gb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.099,-</strong>"
Lenovo Legion 5 17ITH6H 82JM001EMH;https://www.coolblue.nl/en/product/882868/lenovo-legion-5-17ith6h-82jm001emh.html;"<strong class=""sales-price__current js-sales-price-current"">1.499,-</strong>"
Apple MacBook Air (2020) 16GB/512GB Apple M1 with 8-core GPU Space Gray;https://www.coolblue.nl/en/product/874175/apple-macbook-air-2020-16gb-512gb-apple-m1-with-8-core-gpu-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">1.509,-</strong>"
Lenovo Legion 5 17IMH05 82B300CBMH;https://www.coolblue.nl/en/product/882865/lenovo-legion-5-17imh05-82b300cbmh.html;"<strong class=""sales-price__current js-sales-price-current"">1.199,-</strong>"
HP 470 G8 i7-16gb-512GB;https://www.coolblue.nl/en/product/889652/hp-470-g8-i7-16gb-512gb.html;"<strong class=""sales-price__current js-sales-price-current"">1.349,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (10-core CPU/16-core GPU) 32GB/1TB Space Gray;https://www.coolblue.nl/en/product/894403/apple-macbook-pro-14-inches-2021-m1-pro-10-core-cpu-16-core-gpu-32gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">3.139,-</strong>"
MSI GL66 Pulse 11UEK-036NL;https://www.coolblue.nl/en/product/880208/msi-gl66-pulse-11uek-036nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.399,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (10-core CPU/16-core GPU) 32GB/512GB Space Gray;https://www.coolblue.nl/en/product/894402/apple-macbook-pro-14-inches-2021-m1-pro-10-core-cpu-16-core-gpu-32gb-512gb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.919,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Apple MacBook Pro 14 inches (2021) M1 Pro (10-core CPU/16-core GPU) 32GB/512GB Space Gray;https://www.coolblue.nl/en/product/894402/apple-macbook-pro-14-inches-2021-m1-pro-10-core-cpu-16-core-gpu-32gb-512gb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.919,-</strong>"
HP 17-cn0976nd;https://www.coolblue.nl/en/product/891408/hp-17-cn0976nd.html;"<strong class=""sales-price__current js-sales-price-current"">1.049,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
HP Chromebook 14a-na0170nd;https://www.coolblue.nl/en/product/868651/hp-chromebook-14a-na0170nd.html;"<strong class=""sales-price__current js-sales-price-current"">249,-</strong>"
HP ProBook 440 G8 - 203F0EA;https://www.coolblue.nl/en/product/872297/hp-probook-440-g8-203f0ea.html;"<strong class=""sales-price__current js-sales-price-current"">999,-</strong>"
MSI GF63 Thin 10SC-683NL;https://www.coolblue.nl/en/product/891437/msi-gf63-thin-10sc-683nl.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Microsoft Surface Pro 8 - i5/16/256 (Graphite);https://www.coolblue.nl/en/product/897655/microsoft-surface-pro-8-i5-16-256-graphite.html;"<strong class=""sales-price__current js-sales-price-current"">1.249,-</strong>"
MSI Modern 15 A11M-814NL;https://www.coolblue.nl/en/product/892840/msi-modern-15-a11m-814nl.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Pro (10-core CPU/16-core GPU) 16GB/1TB Silver;https://www.coolblue.nl/en/product/894372/apple-macbook-pro-16-inches-2021-m1-pro-10-core-cpu-16-core-gpu-16gb-1tb-silver.html;"<strong class=""sales-price__current js-sales-price-current"">2.979,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 32GB/512GB Space Gray;https://www.coolblue.nl/en/product/894398/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-32gb-512gb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.609,-</strong>"
Apple MacBook Air (2020) 16GB/1TB Apple M1 with 8-core GPU Space Gray;https://www.coolblue.nl/en/product/874176/apple-macbook-air-2020-16gb-1tb-apple-m1-with-8-core-gpu-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">1.839,-</strong>"
Lenovo IdeaPad 5 14ITL05 82FE00PWMH;https://www.coolblue.nl/en/product/878306/lenovo-ideapad-5-14itl05-82fe00pwmh.html;"<strong class=""sales-price__current js-sales-price-current"">749,-</strong>"
Acer Swift 3 SF314-43-R13Q;https://www.coolblue.nl/en/product/882455/acer-swift-3-sf314-43-r13q.html;"<strong class=""sales-price__current js-sales-price-current"">579,-</strong>"
HP 17-cn1959nd;https://www.coolblue.nl/en/product/899604/hp-17-cn1959nd.html;"<strong class=""sales-price__current js-sales-price-current"">849,-</strong>"
Acer Chromebook Spin 514 CP514-1HH-R7PK;https://www.coolblue.nl/en/product/876297/acer-chromebook-spin-514-cp514-1hh-r7pk.html;"<strong class=""sales-price__current js-sales-price-current"">649,-</strong>"
MSI Creator 17 B11UH-404NL;https://www.coolblue.nl/en/product/889901/msi-creator-17-b11uh-404nl.html;"<strong class=""sales-price__current js-sales-price-current"">2.499,-</strong>"
Lenovo IdeaPad Gaming 3 15ACH6 82K200ANMH;https://www.coolblue.nl/en/product/879991/lenovo-ideapad-gaming-3-15ach6-82k200anmh.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Lenovo V17 G2 - 82NX00EAMH;https://www.coolblue.nl/en/product/888358/lenovo-v17-g2-82nx00eamh.html;"<strong class=""sales-price__current js-sales-price-current"">1.199,-</strong>"
MSI Creator 17 B11UE-408NL;https://www.coolblue.nl/en/product/889899/msi-creator-17-b11ue-408nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.699,-</strong>"
HP Pavilion 15-eh1977nd;https://www.coolblue.nl/en/product/889431/hp-pavilion-15-eh1977nd.html;"<strong class=""sales-price__current js-sales-price-current"">949,-</strong>"
Asus Chromebook C523NA-EJ0446;https://www.coolblue.nl/en/product/886177/asus-chromebook-c523na-ej0446.html;"<strong class=""sales-price__current js-sales-price-current"">299,-</strong>"
MSI Summit E16 Flip Evo A11MT-037NL;https://www.coolblue.nl/en/product/886479/msi-summit-e16-flip-evo-a11mt-037nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.349,-</strong>"
HP 15s-fq4965nd;https://www.coolblue.nl/en/product/891962/hp-15s-fq4965nd.html;"<strong class=""sales-price__current js-sales-price-current"">639,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Apple MacBook Pro 16 inches (2021) M1 Pro (10-core CPU/16-core GPU) 16GB/1TB Space Gray;https://www.coolblue.nl/en/product/894371/apple-macbook-pro-16-inches-2021-m1-pro-10-core-cpu-16-core-gpu-16gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.799,-</strong>"
HP Pavilion x360 14-dy0902nd;https://www.coolblue.nl/en/product/877670/hp-pavilion-x360-14-dy0902nd.html;"<strong class=""sales-price__current js-sales-price-current"">719,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Lenovo Legion 5 15IMH05H 81Y60090MH;https://www.coolblue.nl/en/product/873077/lenovo-legion-5-15imh05h-81y60090mh.html;"<strong class=""sales-price__current js-sales-price-current"">1.199,-</strong>"
Lenovo IdeaPad 5 14ITL05 82FE00PSMH;https://www.coolblue.nl/en/product/878381/lenovo-ideapad-5-14itl05-82fe00psmh.html;"<strong class=""sales-price__current js-sales-price-current"">529,-</strong>"
Acer Aspire Vero AV15-51-574G;https://www.coolblue.nl/en/product/892461/acer-aspire-vero-av15-51-574g.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Max (10-core CPU/24-core GPU) 64GB/1TB Space Gray;https://www.coolblue.nl/en/product/894448/apple-macbook-pro-16-inches-2021-m1-max-10-core-cpu-24-core-gpu-64gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">4.129,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Max (10-core CPU/32-core GPU) 32GB/512GB Space Gray;https://www.coolblue.nl/en/product/894450/apple-macbook-pro-16-inches-2021-m1-max-10-core-cpu-32-core-gpu-32gb-512gb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">3.619,-</strong>"
Microsoft Surface Laptop Go - i5 - 8GB - 128GB Platinum;https://www.coolblue.nl/en/product/869660/microsoft-surface-laptop-go-i5-8gb-128gb-platinum.html;"<strong class=""sales-price__current js-sales-price-current"">599,-</strong>"
Acer Aspire 5 A514-54-59FF;https://www.coolblue.nl/en/product/867584/acer-aspire-5-a514-54-59ff.html;"<strong class=""sales-price__current js-sales-price-current"">549,-</strong>"
